archivo,año_extraido,mes_extraido,dia,lluvia_mm
registro 01-2021.jpg,2021,Enero,1,0.0
registro 01-2021.jpg,2021,Enero,2,0.0
registro 01-2021.jpg,2021,Enero,3,5.5
registro 01-2021.jpg,2021,Enero,4,45.5
registro 01-2021.jpg,2021,Enero,5,16.5
registro 01-2021.jpg,2021,Enero,6,15.8
registro 01-2021.jpg,2021,Enero,7,0.0
registro 01-2021.jpg,2021,Enero,8,0.0
registro 01-2021.jpg,2021,Enero,9,5.0
registro 01-2021.jpg,2021,Enero,10,0.0
registro 01-2021.jpg,2021,Enero,11,0.0
registro 01-2021.jpg,2021,Enero,12,0.4
registro 01-2021.jpg,2021,Enero,13,35.0
registro 01-2021.jpg,2021,Enero,14,0.0
registro 01-2021.jpg,2021,Enero,15,2.8
registro 01-2021.jpg,2021,Enero,16,0.0
registro 01-2021.jpg,2021,Enero,17,60.0
registro 01-2021.jpg,2021,Enero,18,0.0
registro 01-2021.jpg,2021,Enero,19,0.0
registro 01-2021.jpg,2021,Enero,20,4.0
registro 01-2021.jpg,2021,Enero,21,72.0
registro 01-2021.jpg,2021,Enero,22,11.8
registro 01-2021.jpg,2021,Enero,23,32.0
registro 01-2021.jpg,2021,Enero,24,0.5
registro 01-2021.jpg,2021,Enero,25,4.5
registro 01-2021.jpg,2021,Enero,26,2.0
registro 01-2021.jpg,2021,Enero,27,92.0
registro 01-2021.jpg,2021,Enero,28,4.0
registro 01-2021.jpg,2021,Enero,29,50.0
registro 01-2021.jpg,2021,Enero,30,9.0
registro 01-2021.jpg,2021,Enero,31,67.8
registro 02-2021.jpg,2021,Febrero,1,24.5
registro 02-2021.jpg,2021,Febrero,2,15.0
registro 02-2021.jpg,2021,Febrero,3,12.0
registro 02-2021.jpg,2021,Febrero,4,0.0
registro 02-2021.jpg,2021,Febrero,5,0.0
registro 02-2021.jpg,2021,Febrero,6,0.0
registro 02-2021.jpg,2021,Febrero,7,0.0
registro 02-2021.jpg,2021,Febrero,8,0.0
registro 02-2021.jpg,2021,Febrero,9,0.0
registro 02-2021.jpg,2021,Febrero,10,18.0
registro 02-2021.jpg,2021,Febrero,11,18.0
registro 02-2021.jpg,2021,Febrero,12,3.0
registro 02-2021.jpg,2021,Febrero,13,0.0
registro 02-2021.jpg,2021,Febrero,14,0.5
registro 02-2021.jpg,2021,Febrero,15,0.0
registro 02-2021.jpg,2021,Febrero,16,0.0
registro 02-2021.jpg,2021,Febrero,17,0.0
registro 02-2021.jpg,2021,Febrero,18,0.0
registro 02-2021.jpg,2021,Febrero,19,0.0
registro 02-2021.jpg,2021,Febrero,20,0.0
registro 02-2021.jpg,2021,Febrero,21,0.0
registro 02-2021.jpg,2021,Febrero,22,0.0
registro 02-2021.jpg,2021,Febrero,23,0.0
registro 02-2021.jpg,2021,Febrero,24,2.2
registro 02-2021.jpg,2021,Febrero,25,0.0
registro 02-2021.jpg,2021,Febrero,26,0.0
registro 02-2021.jpg,2021,Febrero,27,0.0
registro 02-2021.jpg,2021,Febrero,28,0.0
registro 02-2021.jpg,2021,Febrero,29,0.0
registro 02-2021.jpg,2021,Febrero,30,0.0
registro 02-2021.jpg,2021,Febrero,31,0.0
registro 03-2021.jpg,2021,Marzo,1,0.0
registro 03-2021.jpg,2021,Marzo,2,0.0
registro 03-2021.jpg,2021,Marzo,3,0.0
registro 03-2021.jpg,2021,Marzo,4,5.0
registro 03-2021.jpg,2021,Marzo,5,6.5
registro 03-2021.jpg,2021,Marzo,6,0.0
registro 03-2021.jpg,2021,Marzo,7,0.0
registro 03-2021.jpg,2021,Marzo,8,0.0
registro 03-2021.jpg,2021,Marzo,9,0.0
registro 03-2021.jpg,2021,Marzo,10,0.0
registro 03-2021.jpg,2021,Marzo,11,0.0
registro 03-2021.jpg,2021,Marzo,12,0.0
registro 03-2021.jpg,2021,Marzo,13,0.0
registro 03-2021.jpg,2021,Marzo,14,0.0
registro 03-2021.jpg,2021,Marzo,15,0.0
registro 03-2021.jpg,2021,Marzo,16,0.0
registro 03-2021.jpg,2021,Marzo,17,11.5
registro 03-2021.jpg,2021,Marzo,18,0.0
