archivo,año_extraido,mes_extraido,dia,lluvia_mm,observacion_codigo
registro 01-2021.jpg,2021,Enero,1,0.0,A
registro 01-2021.jpg,2021,Enero,2,0.0,A
registro 01-2021.jpg,2021,Enero,3,0.0,A
registro 01-2021.jpg,2021,Enero,4,5.5,A•
registro 01-2021.jpg,2021,Enero,5,45.5,/B•
registro 01-2021.jpg,2021,Enero,6,16.5,"≡O 8,00•"
registro 01-2021.jpg,2021,Enero,7,15.8,•
registro 01-2021.jpg,2021,Enero,8,0.0,A
registro 01-2021.jpg,2021,Enero,9,5.0,A•
registro 01-2021.jpg,2021,Enero,10,0.0,A
registro 01-2021.jpg,2021,Enero,11,0.4,A•B
registro 01-2021.jpg,2021,Enero,12,35.0,A
registro 01-2021.jpg,2021,Enero,13,0.0,A•
registro 01-2021.jpg,2021,Enero,14,2.8,A
registro 01-2021.jpg,2021,Enero,15,0.0,A•B
registro 01-2021.jpg,2021,Enero,16,60.0,•B
registro 01-2021.jpg,2021,Enero,17,0.0,A
registro 01-2021.jpg,2021,Enero,18,0.0,A
registro 01-2021.jpg,2021,Enero,19,4.0,A•g
registro 01-2021.jpg,2021,Enero,20,72.0,A•
registro 01-2021.jpg,2021,Enero,21,11.8,A•
registro 01-2021.jpg,2021,Enero,22,32.0,A•
registro 01-2021.jpg,2021,Enero,23,0.5,A•
registro 01-2021.jpg,2021,Enero,24,4.5,A•
registro 01-2021.jpg,2021,Enero,25,2.0,A•
registro 01-2021.jpg,2021,Enero,26,92.0,•B
registro 01-2021.jpg,2021,Enero,27,4.0,g•B
registro 01-2021.jpg,2021,Enero,28,50.0,A•
registro 01-2021.jpg,2021,Enero,29,9.0,A•B
registro 01-2021.jpg,2021,Enero,30,67.8,
registro 01-2021.jpg,2021,Enero,31,0.0,
registro 02-2021.jpg,2021,Febrero,1,24.5,"=07,30"
registro 02-2021.jpg,2021,Febrero,2,0.0,A R°.
registro 02-2021.jpg,2021,Febrero,3,0.0,A R°.
registro 02-2021.jpg,2021,Febrero,4,0.0,R°.
registro 02-2021.jpg,2021,Febrero,5,0.0,A
registro 02-2021.jpg,2021,Febrero,6,0.0,A
registro 02-2021.jpg,2021,Febrero,7,0.0,A
registro 02-2021.jpg,2021,Febrero,8,0.0,A
registro 02-2021.jpg,2021,Febrero,9,0.0,A R
registro 02-2021.jpg,2021,Febrero,10,18.0,"=07,30 R°."
registro 02-2021.jpg,2021,Febrero,11,18.0,A R°.
registro 02-2021.jpg,2021,Febrero,12,18.0,A R°.
registro 02-2021.jpg,2021,Febrero,13,3.0,A R°.
registro 02-2021.jpg,2021,Febrero,14,0.0,A
registro 02-2021.jpg,2021,Febrero,15,0.5,A
registro 02-2021.jpg,2021,Febrero,16,0.0,"=08,30"
registro 02-2021.jpg,2021,Febrero,17,0.0,"=08,30"
registro 02-2021.jpg,2021,Febrero,18,0.0,A
registro 02-2021.jpg,2021,Febrero,19,0.0,A
registro 02-2021.jpg,2021,Febrero,20,0.0,A
registro 02-2021.jpg,2021,Febrero,21,0.0,A
registro 02-2021.jpg,2021,Febrero,22,0.0,A
registro 02-2021.jpg,2021,Febrero,23,0.0,A R
registro 02-2021.jpg,2021,Febrero,24,2.2,R°.
registro 02-2021.jpg,2021,Febrero,25,0.0,A
registro 02-2021.jpg,2021,Febrero,26,0.0,A
registro 02-2021.jpg,2021,Febrero,27,0.0,A
registro 02-2021.jpg,2021,Febrero,28,0.0,A
registro 02-2021.jpg,2021,Febrero,29,0.0,
registro 02-2021.jpg,2021,Febrero,30,0.0,
registro 02-2021.jpg,2021,Febrero,31,0.0,
registro 03-2021.jpg,2021,Marzo,1,0.0,A
registro 03-2021.jpg,2021,Marzo,2,0.0,A
registro 03-2021.jpg,2021,Marzo,3,5.0,A R°
registro 03-2021.jpg,2021,Marzo,4,5.0,A R
registro 03-2021.jpg,2021,Marzo,5,6.5,A R°
registro 03-2021.jpg,2021,Marzo,6,0.0,A
registro 03-2021.jpg,2021,Marzo,7,0.0,A
registro 03-2021.jpg,2021,Marzo,8,0.0,A
registro 03-2021.jpg,2021,Marzo,9,0.0,A
registro 03-2021.jpg,2021,Marzo,10,0.0,A
registro 03-2021.jpg,2021,Marzo,11,0.0,A
registro 03-2021.jpg,2021,Marzo,12,0.0,A
registro 03-2021.jpg,2021,Marzo,13,0.0,A
registro 03-2021.jpg,2021,Marzo,14,0.0,A
registro 03-2021.jpg,2021,Marzo,15,0.0,A
registro 03-2021.jpg,2021,Marzo,16,0.0,A
registro 03-2021.jpg,2021,Marzo,17,11.5,A R°
registro 03-2021.jpg,2021,Marzo,18,0.0,A
registro 03-2021.jpg,2021,Marzo,19,0.0,A
registro 03-2021.jpg,2021,Marzo,20,0.0,A R
registro 03-2021.jpg,2021,Marzo,21,16.5,R°
registro 03-2021.jpg,2021,Marzo,22,1.5,= 08.30
registro 03-2021.jpg,2021,Marzo,23,0.0,= 08.30
registro 03-2021.jpg,2021,Marzo,24,0.0,A
registro 03-2021.jpg,2021,Marzo,25,2.5,A R°
registro 03-2021.jpg,2021,Marzo,26,0.0,A R°
registro 03-2021.jpg,2021,Marzo,27,10.0,R°
registro 03-2021.jpg,2021,Marzo,28,2.2,A R°
registro 03-2021.jpg,2021,Marzo,29,0.0,A
registro 03-2021.jpg,2021,Marzo,30,0.0,A
registro 03-2021.jpg,2021,Marzo,31,0.0,A
registro 04-2021.bmp,2021,abril,1,0.0,A
registro 04-2021.bmp,2021,abril,2,0.0,A
registro 04-2021.bmp,2021,abril,3,0.0,A
registro 04-2021.bmp,2021,abril,4,0.0,A
registro 04-2021.bmp,2021,abril,5,904.0,A
registro 04-2021.bmp,2021,abril,6,0.0,A
registro 04-2021.bmp,2021,abril,7,0.0,A
registro 04-2021.bmp,2021,abril,8,0.0,A
registro 04-2021.bmp,2021,abril,9,0.0,A
registro 04-2021.bmp,2021,abril,10,0.0,A
registro 04-2021.bmp,2021,abril,11,0.0,A
registro 04-2021.bmp,2021,abril,12,4.5,A
registro 04-2021.bmp,2021,abril,13,0.0,A
registro 04-2021.bmp,2021,abril,14,0.0,A
registro 04-2021.bmp,2021,abril,15,360.9,A
registro 04-2021.bmp,2021,abril,16,0.0,A
registro 04-2021.bmp,2021,abril,17,0.0,A
registro 04-2021.bmp,2021,abril,18,0.0,A
registro 04-2021.bmp,2021,abril,19,0.0,= 08.30
registro 04-2021.bmp,2021,abril,20,0.0,A
registro 04-2021.bmp,2021,abril,21,0.0,A
registro 04-2021.bmp,2021,abril,22,0.0,A
registro 04-2021.bmp,2021,abril,23,0.0,A
registro 04-2021.bmp,2021,abril,24,0.0,A
registro 04-2021.bmp,2021,abril,25,2.0,A
registro 04-2021.bmp,2021,abril,26,0.0,A
registro 04-2021.bmp,2021,abril,27,0.0,A
registro 04-2021.bmp,2021,abril,28,0.0,A
registro 04-2021.bmp,2021,abril,29,0.0,= 08.30
registro 04-2021.bmp,2021,abril,30,0.0,A
registro 04-2021.bmp,2021,abril,31,0.0,
registro 05-2021.jpg,2021,Mayo,1,0.0,A
registro 05-2021.jpg,2021,Mayo,2,0.0,"A 9 11,30"
registro 05-2021.jpg,2021,Mayo,3,0.0,A
registro 05-2021.jpg,2021,Mayo,4,0.0,A
registro 05-2021.jpg,2021,Mayo,5,0.0,A •
registro 05-2021.jpg,2021,Mayo,6,8.0,A •
registro 05-2021.jpg,2021,Mayo,7,3.5,A
registro 05-2021.jpg,2021,Mayo,8,0.0,E 08.30
registro 05-2021.jpg,2021,Mayo,9,0.0,A
registro 05-2021.jpg,2021,Mayo,10,0.0,A •
registro 05-2021.jpg,2021,Mayo,11,23.0,A
registro 05-2021.jpg,2021,Mayo,12,0.0,E 08.30
registro 05-2021.jpg,2021,Mayo,13,0.0,A
registro 05-2021.jpg,2021,Mayo,14,0.0,A
registro 05-2021.jpg,2021,Mayo,15,0.0,A
registro 05-2021.jpg,2021,Mayo,16,0.0,A
registro 05-2021.jpg,2021,Mayo,17,0.0,A
registro 05-2021.jpg,2021,Mayo,18,0.0,A
registro 05-2021.jpg,2021,Mayo,19,0.0,A
registro 05-2021.jpg,2021,Mayo,20,0.0,A
registro 05-2021.jpg,2021,Mayo,21,6.0,"A 9 12,35 • E"
registro 05-2021.jpg,2021,Mayo,22,0.0,E 08.30
registro 05-2021.jpg,2021,Mayo,23,0.0,A
registro 05-2021.jpg,2021,Mayo,24,0.0,A
registro 05-2021.jpg,2021,Mayo,25,0.0,E 09.30
registro 05-2021.jpg,2021,Mayo,26,0.0,E 09.30
registro 05-2021.jpg,2021,Mayo,27,0.0,E 10.00
registro 05-2021.jpg,2021,Mayo,28,0.0,9 06.30-9 18.30
registro 05-2021.jpg,2021,Mayo,29,0.0,A
registro 05-2021.jpg,2021,Mayo,30,0.0,A
registro 05-2021.jpg,2021,Mayo,31,0.0,A
registro 06-2021.jpg,2021,Junio,1,0.0,A
registro 06-2021.jpg,2021,Junio,2,0.0,A °/S
registro 06-2021.jpg,2021,Junio,3,20.0,"=08,30"
registro 06-2021.jpg,2021,Junio,4,0.0,A
