iter	RMSE
0	4.13902065
1	3.490434651
2	3.287243902
3	3.216941149
4	3.189554843
5	3.168886595
6	3.160318034
7	3.14424162
8	3.136915267
9	3.134071806
10	3.130616565
11	3.117958649
12	3.109474841
13	3.098525002
14	3.090053261
15	3.078561226
16	3.068054854
17	3.064503866
18	3.058702761
19	3.047041573
20	3.046106222
21	3.037470472
22	3.034821871
23	3.029774056
24	3.01852258
25	3.011053917
26	2.996022952
27	2.985051032
28	2.981674732
29	2.973901354
30	2.973658357
31	2.96687484
32	2.957248264
33	2.950259748
34	2.941571212
35	2.929393447
36	2.92237355
37	2.915763554
38	2.912882529
39	2.909097294
40	2.899492957
41	2.892971038
42	2.883504289
43	2.87835646
44	2.869487926
45	2.858569877
46	2.847883003
47	2.839586326
48	2.835194072
49	2.829395915
50	2.822311289
51	2.81847975
52	2.812035184
53	2.805037395
54	2.804965763
55	2.800771991
56	2.795780282
57	2.789211553
58	2.783590566
59	2.777663837
60	2.775164763
61	2.773104801
62	2.769967014
63	2.764000306
64	2.758374769
65	2.751462971
66	2.743177741
67	2.738156428
68	2.737647132
69	2.733391735
70	2.730217815
71	2.727411789
72	2.724561054
73	2.719343374
74	2.716814686
75	2.713445132
76	2.710342028
77	2.706805568
78	2.701929102
79	2.696044291
80	2.693223272
81	2.687011855
82	2.685207841
83	2.681504138
84	2.679966544
85	2.671586568
86	2.666838816
87	2.663766057
88	2.659254819
89	2.656471031
90	2.656414724
91	2.651822019
92	2.651217828
93	2.647183012
94	2.645786656
95	2.643242435
96	2.636448962
97	2.629786877
98	2.625210112
99	2.619074507
