iter	Passed	Remaining
0	2	248
1	5	278
2	8	289
3	12	292
4	15	295
5	19	299
6	22	294
7	25	290
8	28	285
9	31	281
10	33	274
11	36	269
12	39	263
13	42	258
14	44	253
15	47	248
16	49	241
17	51	235
18	53	229
19	55	223
20	57	217
21	59	211
22	61	206
23	63	200
24	65	195
25	66	190
26	68	184
27	69	179
28	71	173
29	72	168
30	73	163
31	74	158
32	76	154
33	77	149
34	78	145
35	79	141
36	80	137
37	81	133
38	82	129
39	84	126
40	85	122
41	86	119
42	87	116
43	88	113
44	90	110
45	91	107
46	92	104
47	93	101
48	94	98
49	96	96
50	97	93
51	98	90
52	99	88
53	100	85
54	101	83
55	103	80
56	104	78
57	105	76
58	106	74
59	108	72
60	109	69
61	110	67
62	111	65
63	112	63
64	113	61
65	115	59
66	116	57
67	117	55
68	118	53
69	119	51
70	120	49
71	121	47
72	122	45
73	124	43
74	125	41
75	126	39
76	127	38
77	128	36
78	129	34
79	130	32
80	132	30
81	133	29
82	134	27
83	135	25
84	136	24
85	137	22
86	138	20
87	140	19
88	141	17
89	142	15
90	143	14
91	144	12
92	145	10
93	146	9
94	148	7
95	149	6
96	150	4
97	151	3
98	152	1
99	154	0
